round,v0,vN,gain,truncated,warmup,phi_min,phi_max,phi_abs_mean,weight_min,weight_max,weight_ratio
1,0.11137897782063645,0.5139826422372228,0.40260366441658635,0,0,-0.006844262295081969,0.03586306653809068,0.013877129540340729,0.01104987566778858,0.09348356241349567,8.460146088883967
2,0.5419479267116682,0.5477338476374156,0.005785920925747368,0,0,-0.019850530376084852,0.015614754098360656,0.007366120218579237,0.01102420285846827,0.06493308897758789,5.890048451685499
3,0.5766634522661523,0.636933461909354,0.060270009643201616,0,0,-0.02564268410282946,0.02547510407601667,0.010158485625357707,0.0070456758939946035,0.0907676994347601,12.882752598955927
4,0.7078109932497589,0.7179363548698168,0.010125361620057838,0,0,-0.01881388621022179,0.014276759884281577,0.005213195114111219,0.012103056930037883,0.06330664907203098,5.230633007675428
5,0.7242044358727098,0.7415621986499518,0.017357762777241992,0,0,-0.022169720347155242,0.020390549662487944,0.005751767920282864,0.009921560076668667,0.0833229211516227,8.398167274878789
6,0.7685631629701061,0.76374156219865,-0.004821600771456103,0,0,-0.014317743490838955,0.011270491803278692,0.0045119736419157825,0.01569642196336083,0.056421176092245215,3.594524677276491
7,0.7849566055930569,0.7685631629701061,-0.016393442622950838,0,0,-0.021738601053933743,0.017898366500102278,0.007255778615470034,0.010419957917095119,0.07560870146854226,7.25614268983732
8,0.8317261330761813,0.8105110896817743,-0.02121504339440694,0,0,-0.020768700922992128,0.017861964457914298,0.00798291775726684,0.010979507846968141,0.07575950245266878,6.900081816835612
9,0.8490838958534234,0.7979749276759884,-0.05110896817743493,0,0,-0.023497609717064376,0.015095713904675937,0.007971627786098745,0.01009017155680349,0.06949313828361106,6.887210776585259
10,0.8461909353905497,0.8322082931533269,-0.013982642237222787,0,0,-0.024231766871735116,0.011551214682418945,0.005535042981863563,0.009599941872660368,0.057449489670307996,5.984358075533576
11,0.8534233365477338,0.8317261330761813,-0.021697203471552573,0,0,-0.01833895853423337,0.015670202507232386,0.006204275152684025,0.012905935820672185,0.07067878087199732,5.476455319015845
12,0.8534233365477338,0.8317261330761813,-0.021697203471552573,0,0,-0.028722275795564127,0.010474927675988432,0.006507071681131466,0.007597953874961181,0.05393281782410245,7.09833446104962
13,0.8510125361620058,0.8331726133076182,-0.017839922854387624,0,0,-0.022678399228543866,0.011188524590163932,0.007058582449373191,0.010175692497538457,0.05533181052483914,5.4376456971576275
14,0.8539054966248795,0.8211186113789778,-0.032786885245901676,0,0,-0.021656219864995174,0.01579797492767598,0.006902442944390868,0.010815008666873654,0.07036138473671474,6.505901835495656
15,0.8572806171648988,0.851976856316297,-0.005303760848601735,0,0,-0.016287367405978793,0.017473481195757,0.005168354226936678,0.013988037477337924,0.07565964510463838,5.408882069926884
16,0.8582449373191899,0.8582449373191899,0.0,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
17,0.8582449373191899,0.8158148505303761,-0.04243008678881388,0,0,-0.02477579556412731,0.007140790742526517,0.005470427515268403,0.00977253704399354,0.04820223670494548,4.93241790621524
18,0.8437801350048216,0.8365477338476374,-0.007232401157184265,0,0,-0.016943055146122,0.010992250463423276,0.005447159752374578,0.013736771910457002,0.055525456910066474,4.042103725097029
19,0.8548698167791707,0.8505303760848602,-0.004339440694310581,0,0,-0.011041465766634524,0.007757955641272907,0.004201141112182578,0.018716339878607165,0.04791209621031966,2.5599073601502256
20,0.863066538090646,0.8654773384763742,0.0024108003857281624,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
21,0.8654773384763742,0.8399228543876567,-0.025554484088717522,0,0,-0.01468418514946962,0.011253616200578586,0.006280295724847316,0.015620666976242212,0.05713888660042074,3.657903128421112
22,0.8616200578592093,0.8616200578592093,0.0,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
23,0.8616200578592093,0.8649951783992286,0.0033751205400193163,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
24,0.8649951783992286,0.8548698167791707,-0.010125361620057838,0,0,-0.015238669238187081,0.00810511089681775,0.0035581002892960466,0.01537328042362578,0.049393556073160906,3.2129483566339228
25,0.8664416586306654,0.8678881388621023,0.0014464802314368974,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
26,0.8678881388621023,0.8674059787849566,-0.00048216007714563247,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
27,0.8674059787849566,0.8707810993249759,0.0033751205400193163,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
28,0.8707810993249759,0.8674059787849566,-0.0033751205400193163,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
29,0.8674059787849566,0.8707810993249759,0.0033751205400193163,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
