alpha,round,acc_vanilla,acc_weighted
0.1,0,0.11137897782063645,0.11137897782063645
0.1,1,0.32304725168756027,0.30327868852459017
0.1,2,0.5409836065573771,0.3910318225650916
0.1,3,0.5728061716489875,0.43105110896817744
0.1,4,0.603182256509161,0.4918032786885246
0.1,5,0.6475409836065574,0.5414657666345226
0.5,0,0.11137897782063645,0.11137897782063645
0.5,1,0.5033751205400193,0.4845708775313404
0.5,2,0.5998071359691417,0.68900675024108
0.5,3,0.733847637415622,0.7767598842815815
0.5,4,0.7714561234329798,0.7839922854387656
0.5,5,0.8220829315332691,0.8206364513018322
1.0,0,0.11137897782063645,0.11137897782063645
1.0,1,0.437801350048216,0.5159112825458052
1.0,2,0.5270009643201543,0.5867888138862102
1.0,3,0.6620057859209257,0.6991321118611379
1.0,4,0.7087753134040502,0.7054001928640309
1.0,5,0.6996142719382835,0.6947926711668274
