alpha,round,truncated,gain,phi_min,phi_max
0.1,1,0,0.21166827386692383,-0.04566779170684673,0.06101976856316296
0.1,2,0,0.22034715525554482,-0.01988187078109934,0.08352459016393446
0.1,3,0,0.07859209257473482,-0.015344744455159105,0.0469358727097396
0.1,4,0,0.14850530376084864,-0.013539054966248798,0.07243972999035672
0.1,5,0,0.14175506268081006,-0.012620540019286405,0.07724445515911288
0.1,6,0,0.16200578592092574,-0.013606557377049171,0.08345226615236262
0.1,7,0,0.13114754098360648,-0.01203471552555448,0.08231918997107039
0.1,8,0,0.10800385728061712,-0.02063886210221793,0.043068948891031834
0.1,9,0,0.027000964320154308,-0.02603423336547736,0.06796769527483124
0.1,10,0,0.04869816779170688,-0.025672613307618154,0.06383799421407903
0.1,11,0,0.02314368370298936,-0.032172131147540944,0.04108244937319186
0.1,12,0,0.009643201542912205,-0.02642719382835102,0.04929845708775309
0.1,13,0,0.021697203471552462,-0.025851012536162007,0.0530183220829315
0.1,14,0,0.02507232401157189,-0.026839440694310514,0.04815573770491802
0.1,15,0,0.02121504339440694,-0.028840405014464807,0.048396817743490854
0.1,16,0,0.011571841851494735,-0.027070877531340395,0.044754098360655706
0.1,17,1,-0.0014464802314367864,0.0,0.0
0.1,18,0,0.013018322082931522,-0.025723240115718426,0.042557859209257434
0.1,19,0,0.010125361620057838,-0.02841610414657667,0.0325747348119576
0.1,20,0,-0.006268081002892889,-0.023657184185149456,0.03791465766634519
0.1,21,0,-0.005303760848601735,-0.023965766634522673,0.03437078109932494
0.1,22,0,0.013500482160077154,-0.02103423336547734,0.02449132111861137
0.1,23,1,0.0014464802314367864,0.0,0.0
0.1,24,1,-0.0019286403085824189,0.0,0.0
0.1,25,1,-0.0014464802314367864,0.0,0.0
0.1,26,0,0.009643201542912205,-0.021774349083895878,0.03285438765670204
0.1,27,0,-0.012054001928640257,-0.023570395371263254,0.027013018322082936
0.1,28,0,-0.023625843780135103,-0.0237367405978785,0.02553760848601732
0.1,29,0,-0.017839922854387624,-0.020718418514946955,0.025501446480231452
0.1,30,0,-0.00433944069431047,-0.0205424300867888,0.028640308582449373
0.1,31,0,-0.03134040501446478,-0.022512054001928614,0.023659594985535184
0.1,32,0,-0.040983606557376984,-0.02129218900675024,0.023898264223722314
0.1,33,0,-0.01928640308582452,-0.018927193828351032,0.021759884281581498
0.1,34,0,-0.026036644165863043,-0.019418997107039555,0.025793153326904544
0.1,35,0,-0.025554484088717522,-0.018134040501446468,0.02256509161041465
0.1,36,0,-0.021697203471552573,-0.01855110896817744,0.026824975891996138
0.1,37,0,-0.03326904532304731,-0.018777724204435884,0.028731918997107055
0.1,38,0,-0.019768563162970043,-0.026019768563162952,0.02548939247830279
0.1,39,0,-0.034715525554484095,-0.026899710703953715,0.026345226615236285
0.1,40,0,-0.024590163934426146,-0.020988428158148508,0.024286403085824516
