round,n_clients,jain_index,truncated
1,30,0.8824220287208345,0
2,30,0.9896063041654507,1
3,30,0.8313735657666388,0
4,30,0.9225617759698994,0
5,30,0.9896063041654507,1
6,30,0.9441887594898174,0
7,30,0.9896063041654507,1
8,30,0.8986692169154423,0
9,30,0.9031064418713302,0
10,30,0.9896063041654507,1
11,30,0.9896063041654507,1
12,30,0.9896063041654507,1
13,30,0.9896063041654507,1
14,30,0.9896063041654507,1
15,30,0.9000817695413803,0
16,30,0.9896063041654507,1
17,30,0.948616497794834,0
18,30,0.9896063041654507,1
19,30,0.9896063041654507,1
20,30,0.9896063041654507,1
21,30,0.933229034245991,0
22,30,0.9896063041654507,1
23,30,0.9896063041654507,1
24,30,0.9896063041654507,1
25,30,0.9896063041654507,1
26,30,0.9896063041654507,1
27,30,0.9896063041654507,1
28,30,0.9896063041654507,1
29,30,0.9896063041654507,1
30,30,0.9896063041654507,1
31,30,0.9896063041654507,1
32,30,0.9896063041654507,1
33,30,0.9896063041654507,1
34,30,0.9896063041654507,1
35,30,0.9896063041654507,1
36,30,0.9896063041654507,1
37,30,0.9896063041654507,1
38,30,0.9896063041654507,1
39,30,0.9896063041654507,1
40,30,0.9896063041654507,1
41,30,0.9896063041654507,1
42,30,0.9896063041654507,1
43,30,0.9896063041654507,1
44,30,0.9896063041654507,1
45,30,0.9896063041654507,1
46,30,0.9896063041654507,1
47,30,0.9896063041654507,1
48,30,0.9896063041654507,1
49,30,0.9896063041654507,1
50,30,0.9896063041654507,1
